"SaaS Environment","SaaS Environment"
"Type: ","Type: "
"Create Project","Create Project"
"Rename this Project","Rename this Project"
"Save Project Name","Save Project Name"
"Rename this Environment","Rename this Environment"
"Save Environment Name","Save Environment Name"
"Cancel","Cancel"
"Project ID:","Project ID:"
"Environment ID:","Environment ID:"
"Friendly name for this Environment","Friendly name for this Environment"
"Success","Success"
"An error occurred creating project","An error occurred creating project"
"An error occurred updating project","An error occurred updating project"
"An error occurred requesting environments","An error occurred requesting environments"
"An error occurred updating environment","An error occurred updating environment"
"An error occurred contacting Magento Services","An error occurred contacting Magento Services"
"API Key Validation Failed","API Key Validation Failed"
"Your API Key is invalid.","Your API Key is invalid."
"Magento API Key not found","Magento API Key not found"
"Something went wrong. Check your connection and try again.","Something went wrong. Check your connection and try again."
"Success. Saving and reloading page...","Success. Saving and reloading page..."
"Learn More","Learn More"
"Magento Services Notice","Magento Services Notice"
"Your SaaS Project ID or Environment ID is invalid. Check the values, including in the database.","Your SaaS Project ID or Environment ID is invalid. Check the values, including in the database."
"Error","Error"
